"","time","time2","num_comment","upvote_prop","post_score"
"1",1,"2019-02-14_15:00",9,0.6,2
"2",2,"2019-02-14_16:00",10,0.62,3
"3",3,"2019-02-14_17:00",16,0.7,10
"4",4,"2019-02-14_18:00",21,0.71,14
"5",5,"2019-02-14_19:00",24,0.65,12
"6",6,"2019-02-14_20:00",26,0.66,15
"7",7,"2019-02-14_21:00",33,0.68,18
"8",8,"2019-02-14_22:00",34,0.71,22
"9",9,"2019-02-14_23:00",41,0.71,24
"10",10,"2019-02-15_00:00",41,0.74,31
"11",11,"2019-02-15_01:00",45,0.73,32
"12",12,"2019-02-15_02:00",53,0.75,34
"13",13,"2019-02-15_03:00",60,0.78,44
"14",14,"2019-02-15_04:00",70,0.79,47
"15",15,"2019-02-15_05:00",79,0.81,54
"16",16,"2019-02-15_06:00",99,0.8,52
"17",17,"2019-02-15_07:00",104,0.82,59
"18",18,"2019-02-15_08:00",108,0.84,67
"19",19,"2019-02-15_09:00",110,0.85,68
"20",20,"2019-02-15_10:00",112,0.85,67
"21",21,"2019-02-15_11:00",119,0.84,70
"22",22,"2019-02-15_12:00",120,0.85,74
"23",23,"2019-02-15_13:00",123,0.86,75
"24",24,"2019-02-15_14:00",124,0.86,77
"25",25,"2019-02-15_15:00",125,0.86,79
"26",26,"2019-02-15_16:00",126,0.87,81
"27",27,"2019-02-15_17:00",126,0.87,82
"28",28,"2019-02-15_18:00",127,0.87,79
"29",29,"2019-02-15_19:00",127,0.87,80
"30",30,"2019-02-15_20:00",127,0.87,82
"31",31,"2019-02-15_21:00",127,0.86,79
"32",32,"2019-02-15_22:00",127,0.87,81
"33",33,"2019-02-15_23:00",127,0.87,80
"34",34,"2019-02-16_00:00",127,0.87,79
"35",35,"2019-02-16_01:00",127,0.87,83
"36",36,"2019-02-16_02:00",127,0.87,84
"37",37,"2019-02-16_03:00",128,0.87,81
"38",38,"2019-02-16_04:00",128,0.87,82
"39",39,"2019-02-16_05:00",128,0.87,80
"40",40,"2019-02-16_06:00",128,0.88,86
"41",41,"2019-02-16_07:00",128,0.88,84
"42",42,"2019-02-16_08:00",128,0.88,90
"43",43,"2019-02-16_09:00",128,0.87,82
